CPID,NHDPlusID,lat,lon
527331,3.00002E+13,30.59870775,-97.03579459
527401,3.00002E+13,30.50637257,-96.99565991
527431,3.00002E+13,30.50637257,-96.99565991
527501,3.00002E+13,30.20827496,-96.91186233
527502,3.00002E+13,30.20827496,-96.91186233
527531,3.00002E+13,30.20827496,-96.91186233
527532,3.00002E+13,30.20827496,-96.91186233
527601,3.00002E+13,30.16468398,-96.6943375
527631,3.00002E+13,30.16468398,-96.6943375
527701,3.00002E+13,30.25687052,-96.69255066
527731,3.00002E+13,30.25687052,-96.69255066
527732,3.00002E+13,30.25956572,-96.69722331
527733,3.00002E+13,30.25966527,-96.70109226
527831,3.00002E+13,30.19425435,-96.66137332
527931,3.00002E+13,30.3125739,-96.63609288
527932,3.00002E+13,30.31329869,-96.63427996
527933,3.00002E+13,30.32207801,-96.63516383
528001,3.00002E+13,30.26073736,-96.55570396
528051,3.00002E+13,30.26203953,-96.55625228
528131,3.00002E+13,30.56918441,-96.76152514
528231,3.00002E+13,30.50388117,-96.76552722
528232,3.00002E+13,30.5113698,-96.77662118
528331,3.00002E+13,30.44414909,-96.56649043
528334,3.00002E+13,30.45263562,-96.54760361
528336,3.00002E+13,30.4497011,-96.55398384
528332,3.00002E+13,30.42809833,-96.57534459
528333,3.00002E+13,30.45416964,-96.55680043
528335,3.00002E+13,30.4559287,-96.56479556
528401,3.00002E+13,30.38723973,-96.38890155
528431,3.00002E+13,30.38723973,-96.38890155
528511,3.00002E+13,30.41552755,-96.28477355
528522,3.00002E+13,30.40447838,-96.29786015
547001,3.00002E+13,30.8798379,-96.68561296
556321,3.00002E+13,31.3431446,-96.99805963
W12111,3.00002E+13,30.31936739,-96.52379326
W12112,3.00002E+13,30.3797988,-96.29941137
W12121,3.00002E+13,30.30957366,-96.69907619
W12122,3.00002E+13,30.31936739,-96.52379326
W12132,3.00002E+13,30.84387303,-96.67877157
W12423,3.00002E+13,31.33476412,-96.85956012
W12424,3.00002E+13,31.36227372,-96.87061177
CON111,3.00002E+13,30.84387303,-96.67877157
CON112,3.00007E+13,31.51823391,-97.04471115
CON113,3.00002E+13,31.30917084,-96.99558837
CON114,3.00002E+13,31.20123744,-96.90780178
CON115,3.00002E+13,31.16472423,-96.87742102
CON116,3.00002E+13,31.15925329,-96.86407232
CON117,3.00002E+13,31.01776256,-96.77417276
CON118,3.00002E+13,30.77914682,-96.64509016
CON119,3.00002E+13,30.64049803,-96.60121834
CON120,3.00002E+13,30.62826382,-96.53826492
CON121,3.00002E+13,30.62804481,-96.51106432
CON122,3.00002E+13,30.58726496,-96.42318807
CON123,3.00002E+13,30.34354483,-96.45673225
CON124,3.00002E+13,30.31940183,-96.74105658
CON125,3.00002E+13,30.29574153,-96.681973
CON126,3.00002E+13,30.29443854,-96.64179497
CON128,3.00002E+13,30.30907531,-96.60105111
CON129,3.00002E+13,30.36480922,-96.36976916
CON130,3.00002E+13,30.37927567,-96.299133
CON216,3.00007E+13,31.52653082,-97.07010482
CON217,3.00007E+13,31.4454141,-96.98999247
CON218,3.00002E+13,31.14525504,-96.84950442
CON219,3.00002E+13,30.42509972,-96.54829802
CON220,3.00002E+13,30.42710037,-96.55568578
CON221,3.00002E+13,30.4289312,-96.56636056
CON222,3.00002E+13,30.43880605,-96.62807548
CON223,3.00002E+13,30.46405693,-96.65822739
CON224,3.00002E+13,30.52835807,-96.91283863
CON225,3.00002E+13,30.58468657,-97.0084385
CON226,3.00002E+13,30.57226445,-97.02795048
CON227,3.00002E+13,30.30115856,-96.62308515
BRWA41,3.00007E+13,31.5356157,-97.0734455
BRHB42,3.00002E+13,31.13382719,-96.82433518
BRBR59,3.00002E+13,30.61400214,-96.48706222
MYDB60,3.00002E+13,30.33940889,-96.90432014
EYDB61,3.00002E+13,30.40656156,-96.81773467
YCSO62,3.00002E+13,30.32175327,-96.50731384
DCLY63,3.00002E+13,30.41972968,-96.54013754
3954,3.00002E+13,30.62486071,-97.00045513
3953,3.00002E+13,30.55406592,-97.05390827
3957,3.00002E+13,30.5209499,-97.05821312
3958,3.00002E+13,30.44503287,-97.12828103
3951,3.00002E+13,30.57423842,-97.06912205
100462,3.00002E+13,30.85682954,-96.60279289
9541,3.00007E+13,31.46725666,-96.97723292
28813,3.00002E+13,31.11153339,-96.65469188
28818,3.00002E+13,31.10408277,-96.64533818
28811,3.00002E+13,31.07012053,-96.64623594
28815,3.00002E+13,31.09899254,-96.63770592
25851,3.00002E+13,30.58274904,-96.35401758
12671,3.00007E+13,31.57333336,-96.9339837
104262,3.00002E+13,30.66813019,-96.41417556
00395A,3.00002E+13,30.45511449,-97.13006717
9543,3.00007E+13,31.45914395,-96.98261948
21173,3.00002E+13,30.71123478,-96.45505182
3952,3.00002E+13,30.58837856,-97.04567813
3955,3.00002E+13,30.60221655,-96.99832503
3956,3.00002E+13,30.58468657,-97.0084385
28772,3.00002E+13,31.10117566,-96.68240067
28812,3.00002E+13,31.08461591,-96.66915795
28817,3.00002E+13,31.07872642,-96.6405254
28819,3.00002E+13,31.08461591,-96.66915795
02881A,3.00002E+13,31.08171969,-96.63681445
02881B,3.00002E+13,31.08221076,-96.6358961
28810,3.00002E+13,31.0703625,-96.64562727
28814,3.00002E+13,31.07847726,-96.64083495
38211,3.00002E+13,30.64297033,-96.41691405
101102,3.00002E+13,31.2574012,-96.93125231
109681,3.00002E+13,30.54661108,-96.37336736
110711,3.00007E+13,31.5197472,-97.06609052
1010,3.00002E+13,30.33149341,-96.15431048
P40161,3.00002E+13,30.3936682,-96.22728369
4016P1,3.00002E+13,30.3936682,-96.22728369
429601,3.00002E+13,31.12730918,-96.17380191
429602,3.00002E+13,31.12560598,-96.18589486
429603,3.00002E+13,31.12719258,-96.19605135
429631,3.00002E+13,31.12730918,-96.17380191
429632,3.00002E+13,31.12560598,-96.18589486
429633,3.00002E+13,31.12719258,-96.19605135
505331,3.00002E+13,30.58411428,-96.09333077
505332,3.00002E+13,30.57216717,-96.08156487
505333,3.00002E+13,30.57455464,-96.08385806
505334,3.00002E+13,30.58028029,-96.07734741
505335,3.00002E+13,30.58348195,-96.08947043
505336,3.00002E+13,30.58930115,-96.07757427
508131,3.00002E+13,30.54979968,-96.21185938
508132,3.00002E+13,30.54750864,-96.22151139
508133,3.00002E+13,30.54290084,-96.23125425
513201,3.00002E+13,30.53078363,-96.11821338
513231,3.00002E+13,30.54311628,-96.12577941
513232,3.00002E+13,30.53047441,-96.13593962
513233,3.00002E+13,30.57573801,-96.14866679
5160P1,3.00002E+13,31.2058959,-96.31774956
516032,3.00002E+13,31.21568344,-96.33602378
P53191,3.00002E+13,31.38414563,-96.2752548
P53192,3.00002E+13,31.40571024,-96.23732375
531903,3.00002E+13,31.37003645,-96.28605552
531904,3.00002E+13,31.40288501,-96.22869395
531905,3.00002E+13,31.42212154,-96.22611793
531906,3.00002E+13,31.35608017,-96.29323107
531907,3.00002E+13,31.40314705,-96.23772739
531908,3.00002E+13,31.33907521,-96.26587836
5319P1,3.00002E+13,31.41606229,-96.23312185
5319P2,3.00002E+13,31.40487329,-96.24399042
531933,3.00002E+13,31.38414563,-96.2752548
531934,3.00002E+13,31.40571024,-96.23732375
531935,3.00002E+13,31.38478087,-96.27944907
531936,3.00002E+13,31.38113008,-96.28682628
531937,3.00002E+13,31.37003645,-96.28605552
531938,3.00002E+13,31.40288501,-96.22869395
531939,3.00002E+13,31.42212154,-96.22611793
531930,3.00002E+13,31.41827272,-96.22657317
5319PA,3.00002E+13,31.35608017,-96.29323107
5319PB,3.00002E+13,31.35183656,-96.28887764
53193C,3.00002E+13,31.40314705,-96.23772739
53193D,3.00002E+13,31.39336747,-96.26464355
53193E,3.00002E+13,31.33907521,-96.26587836
P53291,3.00002E+13,30.59428268,-96.23580337
532902,3.00002E+13,30.57223038,-96.23906288
532903,3.00002E+13,30.58907193,-96.22494971
532931,3.00002E+13,30.57248791,-96.23905275
532951,3.00002E+13,30.59573004,-96.23245837
532952,3.00002E+13,30.57248791,-96.23905275
534531,3.00002E+13,30.59098004,-96.2816673
534532,3.00002E+13,30.58892266,-96.28174736
P53541,3.00002E+13,30.54899221,-96.09864968
535402,3.00002E+13,30.5594632,-96.07879881
535431,3.00002E+13,30.54899221,-96.09864968
535432,3.00002E+13,30.5594632,-96.07879881
535731,3.00002E+13,30.61821504,-96.30632066
538531,3.00002E+13,30.54403939,-96.24375728
542201,3.00002E+13,30.64966095,-96.37039041
542251,3.00002E+13,30.64914266,-96.37062452
545801,3.00002E+13,30.58993018,-96.05602645
545831,3.00002E+13,30.58993018,-96.05602645
547301,3.00002E+13,30.6253346,-96.02645458
547331,3.00002E+13,30.6253346,-96.02645458
556601,3.00002E+13,30.42132219,-96.08415921
557011,3.00002E+13,30.52580009,-96.14948342
557021,3.00002E+13,30.50905064,-96.14060024
530931,3.00002E+13,30.63979819,-96.35903616
